train_loss,validation_loss
1.5729843337961804,1.6004395606341186
1.5724572328431423,1.6004139069053862
1.575846155115734,1.5997727237365864
1.5749089403937975,1.6006038939511333
1.577556025401069,1.6001951286086329
1.5733570575437523,1.6000895549853642
1.5722211553713008,1.6006094333198335
1.5748255238317281,1.5993366048291877
1.5788866430866746,1.6015523788001802
1.5773705656179973,1.6014351303930636
1.573252758404495,1.6020684755510755
1.5720657601848833,1.6002336403837911
1.5737447639075897,1.6001144106741305
1.5752137647704016,1.6000637610753377
1.5724797649200997,1.599842287324093
1.574205564927059,1.599846864188159
1.5716207544308527,1.5996670331116076
1.5739531742447768,1.6005641801489725
1.5726830745656086,1.602405928351261
1.5747041064735907,1.6014834151223853
1.5733949667892988,1.600438141160541
1.5764511398400618,1.6013704339663188
1.576660865628249,1.6034901175234053
1.5765118941215241,1.600830453413504
1.5725966505965612,1.6015824521029438
1.5726261267529287,1.6000783178541396
1.5720506602262954,1.6008351837043409
1.573326245676337,1.5992947380851816
1.5722407397150717,1.601659674887304
1.574742280275252,1.599600451963919
1.5723638625819834,1.6003894943881918
1.5712399622058093,1.6009627050823636
1.574223642421156,1.5995211512954146
1.5715555989825256,1.599449375713313
1.5738695974001475,1.5997375509253255
1.5733952371537547,1.5992491863392018
1.5726727301172756,1.600375501094041
1.572964679337433,1.600124502071628
1.571931626155039,1.600318565412804
1.5715088137617796,1.6007952375544443
1.571434630387897,1.599853503483313
1.572793936646455,1.599671075189555
1.571797875060836,1.599989073144065
1.5758097765755488,1.6008765901680346
1.5757027791160443,1.5995946371996845
1.5762025177340497,1.602340544263522
1.5767584080762487,1.6007496135102377
1.57503731047471,1.603353598603496
1.5788881669464907,1.601359396621033
1.5708370679630757,1.60079977578587
1.5722429879580186,1.599809542298317
1.5752201159149755,1.5993559194935694
1.5738302259046903,1.600548908666328
1.5737057004616597,1.6000004719804835
1.5707616974921625,1.6004984058715679
1.5726290081050722,1.600572442015012
